LOCATION_ID,NAME,NAME_CODE,LOCATIONTYPE_ID,SOURCE_LOCATIONTYPE_NAME
1636,PENNS NECK,,1006,CITY
1637,PENNSAUKEN,,1006,CITY
1638,PENNINGTON,,1006,CITY
1639,PENNSVILLE,,1006,CITY
1640,PROSPECT PLAINS,,1006,CITY
1641,PRINCETON,,1006,CITY
1642,RUNNEMEDE,,1006,CITY
1643,RIVERSIDE BURLINGTON,,1006,CITY
1644,SALEM  SALEM,,1006,CITY
1645,SALEM,,1006,CITY
1646,SOMERDALE,,1006,CITY
1647,SWEDESBORO,,1006,CITY
1648,VINELAND,,1006,CITY
1649,VINCENTOWN,,1006,CITY
1650,WOODBURY,,1006,CITY
1651,WOODSTOWN,,1006,CITY
1652,WHITE HORSE,,1006,CITY
1653,WILLINGBORO,,1006,CITY
1654,WILLIAMSTOWN -GLOUCE,,1006,CITY
1655,WRIGHTSTOWN,,1006,CITY
1656,WATER WORKS,,1006,CITY
1657,ALPINE,,1006,CITY
1658,ANDOVER,,1006,CITY
1659,NEWTON,,1006,CITY
1660,CLINTON (HUNTERDON),,1006,CITY
1661,ASBURY PARK,,1006,CITY
1662,ATLANTIC HIGHLANDS,,1006,CITY
1663,BRANCHBURG TOWNSHIP,,1006,CITY
1664,BRANCHBURG,,1006,CITY
1665,BOUND BROOK,,1006,CITY
1666,BEDMINSTER,,1006,CITY
1667,BRANCHVILLE,,1006,CITY
1668,BLOOMSBURY,,1006,CITY
1669,BLOOMFIELD,,1006,CITY
1670,BLAIRSTOWN,,1006,CITY
1671,BELVIDERE,,1006,CITY
1672,BELLEVILLE,,1006,CITY
1673,BOONTON,,1006,CITY
1674,BERNARDSVILLE,,1006,CITY
1675,FRANKLINVILLE,,1006,CITY
1676,BROWNTOWN,,1006,CITY
1677,BAYONNE,,1006,CITY
1678,GLASSBORO,,1006,CITY
1679,BAYVILLE,,1006,CITY
1680,CARTERET,,1006,CITY
1681,CLIFFSIDE PARK,,1006,CITY
1682,CLIFTON,,1006,CITY
1683,CHESTER,,1006,CITY
1684,CALIFON,,1006,CITY
1685,COLUMBIA,,1006,CITY
1686,CLOSTER,,1006,CITY
1687,CLINTON,,1006,CITY
1688,CALDWELL,,1006,CITY
1689,CRANFORD,,1006,CITY
1690,DUNELLEN,,1006,CITY
1691,DENVILLE,,1006,CITY
1692,DOVER,,1006,CITY
1693,LANDISVILLE,,1006,CITY
1694,EATONTOWN,,1006,CITY
1695,EDISON,,1006,CITY
1696,EAST DOVER,,1006,CITY
1697,ENGLISHTOWN,,1006,CITY
1698,ELIZABETH,,1006,CITY
1699,ENGLEWOOD,,1006,CITY
1700,ERSKINE LAKES,,1006,CITY
1701,MOUNTAIN VIEW,,1006,CITY
1702,FRENCHTOWN,,1006,CITY
1703,FLEMINGTON,,1006,CITY
1704,FRANKLIN RARK - MIDLS,,1006,CITY
1705,FRANKLIN BORO,,1006,CITY
1706,FARMINGDALE - MONMOUT,,1006,CITY
1707,FORDS,,1006,CITY
1708,FAIRFIELD - ESSEX,,1006,CITY
1709,FAIRFIELD (ESSEX),,1006,CITY
1710,FAIR LAWN,,1006,CITY
1711,SOMERSET,,1006,CITY
1712,FORT LEE,,1006,CITY
1713,GREAT MEADOWS,,1006,CITY
1714,HERBERTSVILLE,,1006,CITY
1715,HIGH BRIDGE (HUNTERDON),,1006,CITY
1716,HIGHLAND LAKES,,1006,CITY
1717,HACKETTSTOWN,,1006,CITY
1718,HILLSDALE - BERGEN,,1006,CITY
1719,HALEDON,,1006,CITY
1720,HAMPTON,,1006,CITY
1721,HOLMDEL,,1006,CITY
1722,HOPE,,1006,CITY
1723,PHILLIPSBURG,,1006,CITY
1724,IRVINGTON,,1006,CITY
1725,JACKSON,,1006,CITY
3030,GATE CITY,,1006,CITY
3031,HILLSVILLE,,1006,CITY
3032,KONNAROCK,,1006,CITY
3033,LAUREL FORK,,1006,CITY
3034,MEADOWVIEW,,1006,CITY
3035,MOUTH OF WILSON,,1006,CITY
3036,MAX MEADOWS,,1006,CITY
3037,TEMPLATE,,1006,CITY
3038,AVONEL,,1006,CITY
3039,HEIGHTSTOWN,,1006,CITY
3040,NORTH ARLINGTON,,1006,CITY
3041,AUDUBON,,1006,CITY
3042,WESTFIELD,,1006,CITY
3043,CHILLICOTHE,,1006,CITY
3044,POUGHKEEPSIE,,1006,CITY
3045,MIDDLETOWN,,1006,CITY
3046,BINGHAMTON,,1006,CITY
3047,BUFFALO,,1006,CITY
3048,APALACHIN,,1006,CITY
3049,ELMIRA,,1006,CITY
3050,HAWLEYTON,,1006,CITY
3051,PLYMOUTH,,1006,CITY
3052,WENTZVILLE,,1006,CITY
3053,O FALLON,,1006,CITY
3054,ATLANTA,,1006,CITY
3055,TAMPA,,1006,CITY
3056,ORLANDO,,1006,CITY
3057,BIRMINGHAM,,1006,CITY
3058,WHITE PLAINS,,1006,CITY
3059,COLLEGE PARK,,1006,CITY
3060,NEW HAVEN,,1006,CITY
3061,ROCHESTER,,1006,CITY
3062,NEW YORK,,1006,CITY
3063,ROCK HILL,,1006,CITY
3064,ASTON,,1006,CITY
3065,DALLAS,,1006,CITY
3066,CHICAGO,,1006,CITY
3067,MANHATTAN,,1006,CITY
3068,FERGUSON TWP (CENTRE),,1006,CITY
3069,TALLAHASSEE,,1006,CITY
3070,WEST POINT,,1006,CITY
3071,ARAB,,1006,CITY
3072,MOULTRIE,,1006,CITY
3073,DALTON,,1006,CITY
3074,OCALA,,1006,CITY
3075,JACKSONVILLE,,1006,CITY
3076,PENSACOLA,,1006,CITY
3077,CRESTVIEW,,1006,CITY
3078,FORT WALTON BEACH,,1006,CITY
3079,MONTGOMERY,,1006,CITY
3080,CANTONMENT,,1006,CITY
3081,WETUMPKA,,1006,CITY
3082,ENSLEY,,1006,CITY
3083,GULF BREEZE,,1006,CITY
3084,HOLLEY NAVARRE,,1006,CITY
3085,JAY,,1006,CITY
3086,MILTON,,1006,CITY
3087,MOLINO,,1006,CITY
3088,SAINT MARYS,,1006,CITY
3089,BAKER,,1006,CITY
3090,DE FUNIAK SPRINGS,,1006,CITY
3091,MOBILE,,1006,CITY
3092,NEW ORLEANS,,1006,CITY
3093,LAURELHILL,,1006,CITY
3094,FLORALA,,1006,CITY
3095,PONCE DE LEON,,1006,CITY
3096,MUNSON,,1006,CITY
3097,DESTIN,,1006,CITY
3098,PACE,,1006,CITY
3099,JACKSON,,1006,CITY
3100,NICEVILLE,,1006,CITY
3101,VESTAVIA HILLS,,1006,CITY
3102,VALPARAISO,,1006,CITY
3103,MARIANNA,,1006,CITY
3104,PANAMA CITY BEACH,,1006,CITY
3105,PANAMA CITY,,1006,CITY
3106,PORT ST JOE,,1006,CITY
3107,FAIRFAX,,1006,CITY
3108,CHIPLEY,,1006,CITY
3109,GRACEVILLE,,1006,CITY
3110,HAVANA,,1006,CITY
3111,LYNN HAVEN,,1006,CITY
3112,SALINA,,1006,CITY
3113,PLAINS,,1006,CITY
3114,SUNNY HILLS,,1006,CITY
3115,VERNON,,1006,CITY
3116,YOUNGSTOWN (BAY COUNTY),,1006,CITY
3117,YOUNGSTOWN FOUNTAIN,,1006,CITY
3118,ALTHA,,1006,CITY
3119,BLOUNTSTOWN,,1006,CITY
3120,APALACHICOLA,,1006,CITY
3121,ALLIGATOR POINT,,1006,CITY
3122,FREEPORT,,1006,CITY
3123,BRISTOL,,1006,CITY
3124,GLENDALE,,1006,CITY
3125,EASTPOINT,,1006,CITY
3126,HOSFORD,,1006,CITY
3127,SAINT GEORGE ISLAND,,1006,CITY
3128,PAXTON,,1006,CITY
3129,THE BEACHES,,1006,CITY
3130,WEWAHITCHKA,,1006,CITY
3131,GREENSBORO,,1006,CITY
3132,QUINCY,,1006,CITY
3133,GRETNA,,1006,CITY
3134,ALFORD,,1006,CITY
3135,BONIFAY,,1006,CITY
3136,EGLIN FIELD,,1006,CITY
3137,GREENWOOD,,1006,CITY
3138,MALONE,,1006,CITY
3139,REYNOLDS HILL,,1006,CITY
3140,WESTVILLE,,1006,CITY
3141,SYRACUSE,,1006,CITY
3142,LEXINGTON,,1006,CITY
3143,HIGH POINT,,1006,CITY
3144,HURLBURT FIELD,,1006,CITY
3145,SEAGROVE BEACH,,1006,CITY
3146,COLUMBUS,,1006,CITY
3147,MATTOON,,1006,CITY
3148,CLEVELAND,,1006,CITY
3149,SHALIMAR,,1006,CITY
3150,SANTA ROSA,,1006,CITY
3151,LAKE CITY,,1006,CITY
3152,ORANGE PARK,,1006,CITY
3153,PALATKA,,1006,CITY
3154,ST AUGUSTINE,,1006,CITY
3155,BALDWIN,,1006,CITY
3156,CALLAHAN,,1006,CITY
3157,CRESCENT CITY,,1006,CITY
3158,FLORAHOME,,1006,CITY
3159,FORT GEORGE,,1006,CITY
3160,GREEN COVE SPRINGS,,1006,CITY
3161,HILLIARD,,1006,CITY
3162,HASTINGS,,1006,CITY
3163,INTERLACHEN,,1006,CITY
3164,JACKSONVILLE BEACH,,1006,CITY
3165,OJUS,,1006,CITY
3166,MACON,,1006,CITY
3167,LOUISVILLE,,1006,CITY
3168,ELLISVILLE,,1006,CITY
3169,GREENSBORO,,1006,CITY
3170,MANDARIN,,1006,CITY
3171,LINTHICUM HEIGHTS,,1006,CITY
3172,KINGSLEY LAKE,,1006,CITY
